Image Timestamp,Joint State Timestamp
,1728711296.06045
,1728711296.0807197
,1728711296.10104
,1728711296.1210876
,1728711296.1414952
,1728711296.1620574
,1728711296.1826665
,1728711296.201949
,1728711296.2218237
,1728711296.243039
,1728711296.2634008
,1728711296.2828634
,1728711296.3026295
,1728711296.323001
,1728711296.3429453
,1728711296.3640478
,1728711296.384306
,1728711296.4034324
,1728711296.424483
,1728711296.4448893
,1728711296.4645543
,1728711296.4849708
,1728711296.5053368
,1728711296.5246809
,1728711296.5448554
,1728711296.5653815
,1728711296.5865088
,1728711296.6059155
,1728711296.6264508
,1728711296.6467688
,1728711296.6688902
,1728711296.6870556
,1728711296.7067285
,1728711296.7272968
,1728711296.7478356
,1728711296.7687974
,1728711296.7874405
,1728711296.7989564
,1728711296.8283768
,1728711296.848331
,1728711296.8586135
,1728711296.8791263
,1728711296.8991942
,1728711296.9198341
,1728711296.9394393
,1728711296.9600134
,1728711296.9798439
,1728711297.0000808
,1728711297.0208933
,1728711297.0401275
,1728711297.0609894
,1728711297.080805
,1728711297.1016402
,1728711297.1212976
,1728711297.1417248
,1728711297.1618226
,1728711297.1816716
,1728711297.2030764
,1728711297.222833
,1728711297.2427456
,1728711297.2633421
,1728711297.2835054
,1728711297.3030384
,1728711297.32327
,1728711297.3436048
,1728711297.3646472
,1728711297.3838027
,1728711297.4043744
,1728711297.4253218
,1728711297.4448147
,1728711297.4653568
,1728711297.4857047
,1728711297.5060418
,1728711297.5255053
,1728711297.5459263
,1728711297.5657425
,1728711297.5877151
,1728711297.6069336
,1728711297.6270485
,1728711297.6471953
,1728711297.6668856
,1728711297.687757
,1728711297.7073596
,1728711297.7275622
,1728711297.7386985
,1728711297.7686145
,1728711297.7787476
,1728711297.7992282
,1728711297.8193235
,1728711297.8390477
,1728711297.859715
,1728711297.8796747
,1728711297.8996391
,1728711297.9206352
,1728711297.9396584
,1728711297.9606571
,1728711297.9807827
,1728711298.0013957
,1728711298.0207708
,1728711298.041973
,1728711298.0609999
,1728711298.081035
,1728711298.1023865
,1728711298.1221447
,1728711298.14564
,1728711298.1627388
,1728711298.182058
,1728711298.203097
,1728711298.223026
,1728711298.2426703
,1728711298.2629488
,1728711298.283804
,1728711298.3036985
,1728711298.323942
,1728711298.3439748
,1728711298.3640049
,1728711298.383922
,1728711298.4048703
,1728711298.4244702
,1728711298.4448967
,1728711298.4652448
,1728711298.486219
,1728711298.5057182
,1728711298.5257347
,1728711298.5467432
,1728711298.566426
,1728711298.5864923
,1728711298.6066976
,1728711298.626685
,1728711298.6468372
,1728711298.6673484
,1728711298.6866639
,1728711298.707163
